3.434665659158756117e-16,1.230229429352037697e-18,9.999999999999099609e-01,8.970937846533536784e-14
4.369432029150016875e-19,1.371623544536082868e-33,9.999999999816372442e-01,1.836277828766168640e-11
1.000000000000000000e+00,1.083445077795505108e-27,2.141945250704210491e-22,6.108337773670846190e-31
1.390380243849650667e-19,5.516617524763648346e-15,9.999999999999945599e-01,8.368145390985811505e-28
1.000000000000000000e+00,2.544224313548007204e-21,5.083247587689037857e-18,8.564357891817922891e-22
1.000000000000000000e+00,1.093923499551317110e-19,2.936832390306232159e-18,1.992717656988100767e-23
6.031374256146315279e-17,1.746949349746243741e-20,9.999999999999997780e-01,1.212909093591415328e-16
1.000000000000000000e+00,1.999147918998080995e-18,1.523852821359886201e-18,9.150938124468342930e-22
8.235619661325539045e-12,7.603619963876241752e-42,4.801270471111736371e-07,9.999995198647172456e-01
9.999999999469296741e-01,5.301177741317109818e-11,5.846916053632050542e-14,1.843440985032703448e-24
9.999999999999473754e-01,2.927376084580232052e-14,2.335867641210531929e-14,4.598110016841071710e-18
5.487392239554325540e-17,3.531256249664089236e-19,1.000000000000000000e+00,4.458218170791451615e-21
9.999999999999992228e-01,2.496500936045290638e-17,8.723777929129745913e-16,3.159155759343663824e-17
1.569484881214432895e-08,9.999811487605096971e-01,1.883554464147319237e-05,4.701495741878300981e-33
9.999999999998228084e-01,1.772316838543225009e-13,3.720781668079214889e-17,3.605617350246263592e-20
1.000000000000000000e+00,1.675606394324614886e-19,3.611471666724393481e-20,5.018449151152552754e-18
7.434833762682531070e-10,6.621595008743101083e-13,9.999999992545016703e-01,1.352853188081381004e-12
9.999999999548774277e-01,1.551500029259697646e-14,4.510522682074409096e-11,1.927364718041173336e-15
1.086226740580619587e-19,1.220376373127032266e-23,1.000000000000000000e+00,1.076737136364230897e-17
2.500453815873490221e-12,5.902119785863808943e-54,1.679074682319507404e-11,9.999999999807087647e-01
9.999999998398676482e-01,1.592477054642961217e-24,1.500227256432247059e-16,1.601321686004967335e-10
9.999999999999795719e-01,4.497049870738678307e-15,1.596641194399503093e-14,1.257142253463555105e-17
9.999999990910853898e-01,9.078367593319676770e-10,1.077794486049186760e-12,3.909329555921883668e-22
8.431361944028163557e-13,9.999999337942365729e-01,6.620492026603089738e-08,4.226843846640366520e-45
1.337765862579462734e-22,4.799721318151326592e-20,1.000000000000000000e+00,9.545958609081803467e-25
3.400970727197022536e-11,3.439171538919529453e-49,2.159011060131302878e-11,9.999999999444002530e-01
9.999999999982570609e-01,1.504267712228108250e-13,1.586589842327519471e-12,5.871223295148321013e-15
1.534003207455185035e-08,9.999999846599648690e-01,3.019325963344070158e-15,4.584293112543080500e-51
6.316734967242073105e-09,9.999999923622046039e-01,1.321060366611544556e-09,3.505517912592851557e-41
2.389035266087098704e-09,9.999442690954188917e-01,5.572851554586061269e-05,8.163195176069109934e-34
